"el","the","El libro est\'e1 en la mesa.","The book is on the table.",1\
"de","of/from","La casa de mi amigo es grande.","My friend's house is big.",1\
"que","that/which","S\'e9 que tienes raz\'f3n.","I know that you are right.",1\
"y","and","Pedro y Mar\'eda van al parque.","Pedro and Mar\'eda go to the park.",1\
"a","to","Voy a la tienda.","I am going to the store.",1\
"en","in/on","El gato est\'e1 en el jard\'edn.","The cat is in the garden.",1\
"un","a/an","Tengo un perro.","I have a dog.",1\
"ser","to be","Quiero ser m\'e9dico.","I want to be a doctor.",1\
"se","reflexive pronoun","Ella se llama Ana.","Her name is Ana.",1\
"no","no/not","No me gusta el caf\'e9.","I don't like coffee.",1\
"haber","to have (auxiliary)","He comido mucho hoy.","I have eaten a lot today.",3\
"por","by/for/through","Caminamos por el bosque.","We walked through the forest.",3\
"con","with","Voy al cine con mis amigos.","I go to the cinema with my friends.",3\
"su","his/her/their","Es su coche nuevo.","It's his/her/their new car.",3\
"para","for/to","Este regalo es para ti.","This gift is for you.",3\
"como","like/as","Ella canta como un \'e1ngel.","She sings like an angel.",3\
"estar","to be","Estoy feliz hoy.","I am happy today.",3\
"tener","to have","Tengo dos hermanas.","I have two sisters.",3\
"le","to him/her","Le di el libro a Juan.","I gave the book to Juan.",3\
"lo","it/him","No lo s\'e9.","I don't know it.",3\
"todo","all/everything","Todo est\'e1 bajo control.","Everything is under control.",4\
"pero","but","Quiero ir, pero no puedo.","I want to go, but I can't.",4\
"m\'e1s","more","Necesito m\'e1s tiempo.","I need more time.",4\
"hacer","to do/make","Voy a hacer la cena.","I am going to make dinner.",4\
"o","or","\'bfPrefieres t\'e9 o caf\'e9?","Do you prefer tea or coffee?",4\
"poder","to be able/can","\'bfPuedes ayudarme?","Can you help me?",4\
"decir","to say/tell","Voy a decir la verdad.","I am going to tell the truth.",4\
"este","this","Este es mi amigo Pedro.","This is my friend Pedro.",4\
"ir","to go","Vamos a ir al museo.","We are going to the museum.",4\
"otro","other/another","Quiero otro trozo de pastel.","I want another piece of cake.",4\
"ese","that","Ese es el problema.","That is the problem.",4\
"la","the","La casa es grande.","The house is big.",1\
"si","if","Si llueve, no saldr\'e9.","If it rains, I won't go out.",5\
"me","me/myself","Me llamo Carlos.","My name is Carlos.",5\
"ya","already/now","Ya termin\'e9 mi tarea.","I already finished my homework.",5\
"ver","to see","Quiero ver esa pel\'edcula.","I want to see that movie.",5\
"porque","because","No fui porque estaba enfermo.","I didn't go because I was sick.",5\
"dar","to give","Voy a dar un regalo.","I am going to give a gift.",5\
"cuando","when","Ll\'e1mame cuando puedas.","Call me when you can.",5\
"\'e9l","he","\'c9l es mi hermano.","He is my brother.",1\
"muy","very","Estoy muy contento.","I am very happy.",5\
"sin","without","No puedo vivir sin ti.","I can't live without you.",5\
"vez","time/instance","Es la primera vez aqu\'ed.","It's the first time here.",5\
"mucho","much/a lot","Te quiero mucho.","I love you a lot.",5\
"saber","to know","Necesito saber la verdad.","I need to know the truth.",5\
"qu\'e9","what","\'bfQu\'e9 hora es?","What time is it?",5\
"sobre","about/on","Le\'ed un libro sobre historia.","I read a book about history.",5\
"mi","my","Mi casa es tu casa.","My house is your house.",5\
"alguno","some/any","\'bfTienes alg\'fan problema?","Do you have any problem?",5\
"mismo","same","Tenemos el mismo coche.","We have the same car.",5\
"yo","I","Yo soy estudiante.","I am a student.",2\
"tambi\'e9n","also","Yo tambi\'e9n quiero ir.","I also want to go.",2\
"hasta","until","Trabajo hasta las seis.","I work until six.",2\
"a\'f1o","year","Este a\'f1o voy a viajar.","This year I am going to travel.",2\
"dos","two","Tengo dos perros.","I have two dogs.",2\
"querer","to want","Quiero comer ahora.","I want to eat now.",2\
"entre","between/among","El libro est\'e1 entre las revistas.","The book is among the magazines.",2\
"as\'ed","so/thus","As\'ed se hace.","That's how it's done.",2\
"primero","first","Es mi primer d\'eda.","It's my first day.",2\
"desde","from/since","Vivo aqu\'ed desde 2010.","I have lived here since 2010.",2\
"grande","big","Tu casa es grande.","Your house is big.",2\
"eso","that","Eso es interesante.","That is interesting.",2\
"ni","neither/nor","No tengo tiempo ni dinero.","I have neither time nor money.",2\
"nos","us","Ellos nos ayudan.","They help us.",2\
"llegar","to arrive","El tren llega a las cinco.","The train arrives at five.",2\
"pasar","to pass/happen","\'bfQu\'e9 va a pasar?","What is going to happen?",2\
"tiempo","time/weather","No tengo tiempo ahora.","I don't have time now.",2\
"ella","she","Ella es mi amiga.","She is my friend.",2\
"s\'ed","yes","S\'ed, me gustar\'eda.","Yes, I would like to.",2\
"d\'eda","day","Hoy es un buen d\'eda.","Today is a good day.",2\
"uno","one","Uno nunca sabe.","One never knows.",2\
"bien","well","Estoy bien, gracias.","I am well, thank you.",2\
"poco","little/few","Tengo poco dinero.","I have little money.",2\
"deber","should/must","Debo estudiar m\'e1s.","I must study more.",2\
"entonces","then","Entonces, \'bfqu\'e9 hacemos?","Then, what do we do?",2\
"poner","to put","Voy a poner la mesa.","I am going to set the table.",2\
"cosa","thing","\'bfQu\'e9 es esa cosa?","What is that thing?",2\
"tanto","so much","\'a1Gracias tanto!","Thank you so much!",2\
"hombre","man","Ese hombre es mi padre.","That man is my father.",2\
"parecer","to seem","Parece que va a llover.","It seems like it's going to rain.",2\
"nuestro","our","Este es nuestro hogar.","This is our home.",2\
"tan","so/as","Eres tan amable.","You are so kind.",2\
"donde","where","\'bfD\'f3nde est\'e1 el ba\'f1o?","Where is the bathroom?",2\
"ahora","now","Ahora entiendo.","Now I understand.",2\
"parte","part","Esta es la mejor parte.","This is the best part.",2\
"despu\'e9s","after","Despu\'e9s de ti.","After you.",2\
"vida","life","La vida es bella.","Life is beautiful.",2\
"quedar","to stay/remain","Voy a quedar en casa.","I am going to stay at home.",2\
"siempre","always","Siempre te recordar\'e9.","I will always remember you.",2\
"creer","to believe","No puedo creerlo.","I can't believe it.",2\
"hablar","to speak","Necesitamos hablar.","We need to talk.",3\
"llevar","to carry/wear","Ella lleva un vestido rojo.","She is wearing a red dress.",3\
"dejar","to leave/let","Voy a dejar mi trabajo.","I am going to leave my job.",3\
"nada","nothing","No tengo nada que decir.","I have nothing to say.",3\
"cada","each/every","Cada d\'eda aprendo algo nuevo.","Each day I learn something new.",3\
"seguir","to follow/continue","Voy a seguir intent\'e1ndolo.","I am going to keep trying.",3\
"menos","less","Tengo menos dinero que antes.","I have less money than before.",3\
"nuevo","new","Compr\'e9 un coche nuevo.","I bought a new car.",3\
"encontrar","to find","No puedo encontrar mis llaves.","I can't find my keys.",3\
"algo","something","Necesito algo de ayuda.","I need some help.",3\
"s\'f3lo","only","S\'f3lo quiero descansar.","I just want to rest.",3\
"pues","then/well","Pues, vamos a empezar.","Well, let's get started.",3\
"llamar","to call","Voy a llamar a mi madre.","I am going to call my mother.",3\
"venir","to come","\'bfPuedes venir ahora?","Can you come now?",3\
"pensar","to think","Necesito pensar en ello.","I need to think about it.",3\
"salir","to leave/go out","Voy a salir con amigos.","I am going out with friends.",3\
"volver","to return","Quiero volver a casa.","I want to go back home.",3\
"tomar","to take","Voy a tomar un caf\'e9.","I am going to have a coffee.",3\
"conocer","to know/meet","Quiero conocer a tu hermano.","I want to meet your brother.",3\
"vivir","to live","Vivo en M\'e9xico.","I live in Mexico.",3\
"sentir","to feel","Me siento feliz.","I feel happy.",3\
"trabajar","to work","Trabajo en una oficina.","I work in an office.",3\
"escribir","to write","Voy a escribir una carta.","I am going to write a letter.",3\
"perder","to lose","No quiero perder el tiempo.","I don't want to waste time.",3\
"producir","to produce","La f\'e1brica produce coches.","The factory produces cars.",3\
"ocurrir","to occur","\'bfQu\'e9 ocurri\'f3 ayer?","What happened yesterday?",3\
"entender","to understand","No entiendo la pregunta.","I don't understand the question.",3\
"pedir","to ask for","Voy a pedir ayuda.","I am going to ask for help.",3\
"recibir","to receive","He recibido tu mensaje.","I have received your message.",3\
"recordar","to remember","No recuerdo su nombre.","I don't remember his/her name.",3\
"terminar","to finish","Necesito terminar mi tarea.","I need to finish my homework.",3\
"permitir","to allow","\'bfMe permites entrar?","Will you allow me to enter?",3\
"aparecer","to appear","\'c9l apareci\'f3 de repente.","He appeared suddenly.",3\
"conseguir","to get/achieve","Quiero conseguir un buen trabajo.","I want to get a good job.",3\
"comenzar","to begin","La clase comienza pronto.","The class starts soon.",3\
"servir","to serve","El camarero sirve la comida.","The waiter serves the food.",3\
